Zip Code,Year,ZBP_Total_Establishments,ZBP_Total_Employees,ZBP_Annual_Payroll_Thousands
92684,2010,3,0,0
92662,2010,90,514,12529
92685,2010,7,123,1998
92659,2010,14,37,4318
92661,2010,99,716,17380
92657,2010,245,2346,93285
92692,2010,871,5904,188078
92688,2010,914,13501,570453
92693,2010,13,250,12945
92694,2010,348,2006,65022
92660,2010,3570,46540,4476654
92674,2010,26,50,1794
92697,2010,39,274,6481
92701,2010,1115,14041,562971
92690,2010,15,178,6790
92691,2010,1544,17076,710688
92673,2010,995,8800,428714
92652,2010,18,0,2933
92658,2010,41,0,0
92672,2010,1079,9792,523652
92656,2010,1113,20109,1434842
92324,2010,737,16159,611667
92338,2010,7,200,3601
92347,2010,7,13,431
92350,2010,9,0,0
92354,2010,321,15763,806491
92357,2010,8,0,0
92371,2010,126,849,18762
92314,2010,150,548,13695
92335,2010,1240,24596,1125153
92339,2010,13,387,6919
92352,2010,208,1361,35905
92356,2010,51,597,23006
92372,2010,38,80,1507
92342,2010,43,339,9055
92310,2010,57,1825,69688
92312,2010,13,46,1391
92318,2010,1,0,0
